,index,bitter,meaty,piquant,salty,sour,sweet
0,1-2-3-Gluten-Free-Pancakes-1533270,0.3333333333333333,0.5,0.0,0.16666666666666666,0.16666666666666666,0.5
1,2-INGREDIENT-PANCAKES-1683615,,,,,,
2,2-Ingredient-Pancakes-1264118,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.3333333333333333,0.5
3,2-Minute-Omelette-in-a-Mug-977874,0.8333333333333334,0.8333333333333334,0.5,0.8333333333333334,0.16666666666666666,0.16666666666666666
4,21-Day-Fix-Spinach-Pesto-Frittata-1269076,0.16666666666666666,0.16666666666666666,0.0,0.3333333333333333,0.16666666666666666,0.16666666666666666
5,3-Ingredient-Bacon-Asparagus-Frittata-1602561,0.6666666666666666,0.8333333333333334,0.0,0.5,0.16666666666666666,0.16666666666666666
6,3-Ingredient-Egg-Breakfast-Skillet-1540181,0.8333333333333334,0.5,0.0,0.8333333333333334,0.6666666666666666,0.16666666666666666
7,3-Ingredient-Peanut-Butter-Pancakes-579838,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.3333333333333333,0.5
8,3-Ingredient-Protein-Powder-Pancakes-1563205,0.16666666666666666,0.5,0.0,0.16666666666666666,0.16666666666666666,0.5
9,4-Ingredient-Banana-Pancakes-1684831,,,,,,
10,4-Simple-Breakfasts-with-Berries_-Yogurt_-and-Donuts-1695469,,,,,,
11,5-Ingredient-Vegan-Banana-French-Toast-1640908,,,,,,
12,5-Minute-Protein-Pancakes-1267630,0.6666666666666666,0.6666666666666666,0.0,0.16666666666666666,0.6666666666666666,0.3333333333333333
13,African-Pancakes-1618969,0.16666666666666666,0.5,0.0,0.16666666666666666,0.16666666666666666,0.6666666666666666
14,Alanna_s-peanut-butter-oatmeal-309979,,,,,,
15,Almond-Blueberry-French-Toast-1690330,,,,,,
16,Almond-Butter-Pancakes-1087916,0.3333333333333333,0.8333333333333334,0.0,0.16666666666666666,0.16666666666666666,0.5
17,Almond-Pancakes-with-Almond-Breeze-1631862,0.16666666666666666,0.8333333333333334,0.0,0.8333333333333334,0.16666666666666666,0.6666666666666666
18,American-style-Blueberry-Pancakes-1707717,0.5,0.16666666666666666,0.0,0.5,0.16666666666666666,0.5
19,Another-Gluten-Free-Pancake-1690464,,,,,,
20,Apple-Cinnamon-French-Toast-1624670,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.6666666666666666
21,Apple-Cinnamon-Oatmeal-1629567,,,,,,
22,Apple-Cinnamon-Overnight-Oatmeal-1701420,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.5
23,Apple-Cinnamon-Syrup-1597843,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.5
24,Apple-Pancakes-1103486,0.5,0.16666666666666666,0.0,0.6666666666666666,0.16666666666666666,0.5
25,Apple-Pie-Overnight-Oats-1689508,,,,,,
26,Apple-pancakes-307171,0.16666666666666666,0.16666666666666666,0.0,0.3333333333333333,0.16666666666666666,0.5
27,Apricot-Vanilla-Cashew-Refrigerator-Oatmeal-1698206,,,,,,
28,Avocado-Bacon-and-Eggs-1019540,,,,,,
29,Avocado-Breakfast-Bake-627945,0.8333333333333334,0.8333333333333334,0.0,0.6666666666666666,0.5,0.16666666666666666
30,BANANA-OATMEAL-PANCAKES-1631508,,,,,,
31,BASIC-DUTCH-BABY-1618980,0.16666666666666666,0.5,0.0,0.3333333333333333,0.16666666666666666,0.16666666666666666
32,BLUEBERRY-YOGURT-PANCAKES-1687573,0.16666666666666666,0.16666666666666666,0.0,0.6666666666666666,0.16666666666666666,0.6666666666666666
33,BROCCOLI-QUICHE-1218721,0.8333333333333334,0.8333333333333334,0.0,0.8333333333333334,0.16666666666666666,0.16666666666666666
34,Baby-Dutch-Baby-Pancakes-1549468,0.16666666666666666,0.5,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666
35,Bacon-Banana-Pancakes-with-Buttery-Bourbon-Maple-Syrup-1701366,0.8333333333333334,0.3333333333333333,0.0,0.8333333333333334,0.16666666666666666,0.6666666666666666
36,Bacon-Stuffed-French-Toast-Waffles-1679873,,,,,,
37,Bacon-_-Kale-Baked-Eggs-1710699,0.8333333333333334,0.8333333333333334,0.0,0.8333333333333334,0.8333333333333334,0.16666666666666666
38,Bacon-_-Sweet-Potato-Hash-1686840,0.16666666666666666,0.5,0.16666666666666666,0.5,0.8333333333333334,0.3333333333333333
39,Bacon_-Egg_-And-Cheese-Breakfast-Casserole-1490559,0.8333333333333334,0.6666666666666666,0.16666666666666666,0.8333333333333334,0.16666666666666666,0.16666666666666666
40,Bacon_-Potato_-and-Egg-Casserole-1623146,0.8333333333333334,0.8333333333333334,0.16666666666666666,0.8333333333333334,0.6666666666666666,0.16666666666666666
41,Baked-Blueberry-Buttermilk-Pancakes-1685897,0.6666666666666666,0.16666666666666666,0.0,0.8333333333333334,0.16666666666666666,0.3333333333333333
42,Baked-Eggs-in-Ricotta-Parmesan-Creamed-Spinach-1710092,0.16666666666666666,0.8333333333333334,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.16666666666666666
43,Baked-Eggs-in-Whole-Roasted-Tomatoes-1007867,,,,,,
44,Baked-French-Toast-1522183,0.3333333333333333,0.16666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666
45,Baked-Vegetable-Egg-Omelets-1711924,,,,,,
46,Baked-Western-Omelet-1203701,0.6666666666666666,0.5,0.3333333333333333,0.8333333333333334,0.8333333333333334,0.16666666666666666
47,Banana-Breakfast-Sushi-_paleo_-GF_-1614174,,,,,,
48,Banana-Chocolate-Chip-Baked-Oatmeal-1309608,0.6666666666666666,0.3333333333333333,0.0,0.16666666666666666,0.16666666666666666,0.6666666666666666
49,Banana-Pancakes-1629361,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.3333333333333333,0.5
50,Bananas-Foster-Waffles-1698556,0.5,0.16666666666666666,0.0,0.3333333333333333,0.16666666666666666,0.6666666666666666
51,Banoffee-Waffles-1698444,0.16666666666666666,0.3333333333333333,0.0,0.5,0.16666666666666666,0.6666666666666666
52,Basic-Buttermilk-Pancakes-1053871,0.6666666666666666,0.16666666666666666,0.0,0.8333333333333334,0.16666666666666666,0.16666666666666666
53,Basic-Crepe-1040345,0.16666666666666666,0.16666666666666666,0.0,0.3333333333333333,0.16666666666666666,0.16666666666666666
54,Basic-Crepes-1686240,0.3333333333333333,0.16666666666666666,0.0,0.5,0.16666666666666666,0.16666666666666666
55,Basic-Omelette-1429341,0.8333333333333334,0.3333333333333333,0.0,0.8333333333333334,0.16666666666666666,0.16666666666666666
56,Basic-Tofu-Scramble-1689532,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.8333333333333334,0.16666666666666666
57,Basic-Western-Omelet-513987,0.16666666666666666,0.5,0.16666666666666666,0.6666666666666666,0.6666666666666666,0.16666666666666666
58,Berry-No-Cook-Overnight-Oatmeal-1098051,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.3333333333333333,0.16666666666666666
59,Best-Breakfast-Pancakes-990185,0.8333333333333334,0.3333333333333333,0.0,0.8333333333333334,0.16666666666666666,0.5
60,Best-Eggs-Benedict-480594,0.8333333333333334,0.6666666666666666,0.0,0.8333333333333334,0.16666666666666666,0.16666666666666666
61,Best-Ever-Breakfast-Potatoes-1537506,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.3333333333333333
62,Best-Ever-Homemade-Waffles-1632212,,,,,,
63,Biggest-Loser-Oatmeal-Pancakes-1612507,0.16666666666666666,0.16666666666666666,0.0,0.3333333333333333,0.0,0.3333333333333333
64,Birthday-Pancakes-with-Cream-Cheese-Glaze-1536855,0.5,0.16666666666666666,0.0,0.6666666666666666,0.16666666666666666,0.8333333333333334
65,Biscuits-_-Gravy-Breakfast-Casserole-1700005,,,,,,
66,Bistro-Breakfast-1522799,0.8333333333333334,0.8333333333333334,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.16666666666666666
67,Blackberry-Lavendar-Jam-1698383,,,,,,
